dstport,protocol,tag
57420,tcp,sv_P4
30759,icmp,email
711,tcp,sv_P3
59444,icmp,sv_P2
25439,udp,sv_P2
12036,udp,email
8595,tcp,email
46956,tcp,sv_P3
30920,udp,sv_P5
23890,tcp,sv_P3
543,tcp,sv_P4
5463,udp,sv_P3
3556,icmp,sv_P5
64650,icmp,sv_P5
42906,udp,email
4726,tcp,sv_P1
39936,tcp,sv_P5
18743,udp,sv_P3
26691,icmp,email
17171,tcp,sv_P5
13116,icmp,email
47337,udp,sv_P3
46911,icmp,sv_P2
63021,tcp,sv_P5
60256,icmp,sv_P4
59350,tcp,sv_P4
25001,tcp,sv_P2
46807,icmp,sv_P3
7025,udp,sv_P4
3454,tcp,email
8092,udp,sv_P2
10086,tcp,sv_P1
22856,udp,sv_P4
13038,tcp,sv_P4
3380,icmp,email
25587,udp,sv_P5
22734,icmp,sv_P2
57148,tcp,sv_P5
24873,icmp,sv_P2
15810,udp,sv_P1
8276,udp,sv_P4
48431,udp,email
53796,tcp,sv_P2
3069,tcp,sv_P5
2684,tcp,sv_P4
42634,udp,sv_P5
63945,tcp,sv_P3
6733,udp,sv_P2
54345,udp,sv_P5
44370,udp,sv_P1
52441,icmp,sv_P3
40780,tcp,sv_P4
14404,tcp,sv_P1
38427,udp,email
46246,icmp,email
62820,tcp,sv_P1
38839,tcp,sv_P4
25875,udp,sv_P3
26987,udp,email
566,udp,sv_P3
5245,udp,sv_P2
38144,udp,sv_P4
1936,icmp,sv_P4
24364,tcp,email
41431,icmp,sv_P1
63836,udp,sv_P1
58688,tcp,sv_P1
22089,icmp,sv_P3
20848,udp,sv_P2
3608,icmp,sv_P2
30030,icmp,sv_P3
32344,icmp,sv_P1
42210,icmp,sv_P2
43342,udp,sv_P5
46894,icmp,email
8562,tcp,email
5541,icmp,sv_P5
46654,udp,sv_P2
58694,tcp,sv_P2
6343,icmp,email
36732,udp,sv_P4
33136,icmp,sv_P2
20344,icmp,sv_P5
5966,icmp,sv_P1
55222,icmp,email
28136,udp,sv_P5
27097,icmp,sv_P1
30716,udp,sv_P5
4718,tcp,sv_P5
21130,icmp,sv_P2
55560,udp,sv_P2
36445,icmp,email
26556,tcp,sv_P3
32535,icmp,sv_P3
10786,icmp,sv_P3
6010,icmp,sv_P4
6442,tcp,sv_P2
2328,tcp,sv_P1
36622,icmp,sv_P4
44373,icmp,email
22608,tcp,sv_P1
27504,icmp,sv_P4
60446,icmp,sv_P2
11180,udp,sv_P1
32255,tcp,sv_P5
27362,icmp,sv_P2
63132,tcp,sv_P3
58377,udp,email
13965,udp,sv_P2
29029,udp,sv_P1
16108,icmp,sv_P5
14975,tcp,sv_P2
10618,tcp,email
37234,tcp,sv_P4
31098,udp,sv_P3
51741,udp,email
4961,tcp,email
14901,icmp,sv_P3
55527,udp,sv_P4
4368,udp,sv_P5
31361,udp,sv_P5
40506,udp,sv_P4
57083,tcp,sv_P5
31489,tcp,sv_P4
45748,tcp,email
44942,udp,sv_P5
63031,tcp,sv_P3
3419,udp,sv_P2
27112,tcp,sv_P4
64955,tcp,sv_P2
15937,icmp,sv_P4
247,tcp,sv_P4
65284,tcp,sv_P4
64874,tcp,sv_P1
63886,icmp,sv_P1
3992,tcp,sv_P2
43216,icmp,sv_P1
59340,tcp,sv_P2
55895,icmp,sv_P3
22171,icmp,sv_P4
50158,udp,sv_P4
9666,icmp,sv_P2
59128,tcp,email
47127,udp,email
39682,udp,sv_P3
47348,udp,sv_P5
54262,tcp,sv_P4
42628,icmp,email
28779,icmp,email
38458,icmp,sv_P5
58671,udp,sv_P2
5157,icmp,sv_P5
61160,tcp,email
3193,udp,email
26246,tcp,sv_P4
2375,icmp,sv_P1
36424,udp,sv_P3
504,tcp,sv_P4
4445,udp,sv_P1
1938,tcp,sv_P3
21668,udp,sv_P3
57204,tcp,sv_P1
12296,udp,sv_P1
9886,icmp,sv_P1
14451,udp,email
5570,tcp,sv_P5
6097,udp,sv_P5
57511,icmp,sv_P5
42383,icmp,email
4437,tcp,sv_P3
63514,icmp,sv_P4
