Tag Counts:
Tag,Count
sv_p4,7886
sv_p1,7798
email,8047
sv_p5,8418
sv_p2,8675
sv_p3,8572
Untagged,0

Port/Protocol Combination Counts:
Port,Protocol,Count
49703,tcp,18
58929,tcp,14
58983,tcp,8
52252,udp,11
51688,udp,12
63021,tcp,16
37246,icmp,9
26323,udp,16
58659,tcp,9
60230,tcp,8
38226,udp,6
13549,tcp,9
16938,udp,11
10457,icmp,13
48616,udp,19
34612,tcp,7
24599,icmp,12
62740,udp,8
19469,tcp,9
12671,icmp,6
47623,udp,13
20191,tcp,9
26570,icmp,9
34207,icmp,16
47085,icmp,11
50093,udp,13
29692,icmp,8
50155,udp,5
49544,udp,8
61787,tcp,5
218,tcp,12
38198,udp,10
56374,icmp,11
14497,icmp,7
39043,tcp,12
59794,tcp,6
36238,icmp,18
42355,icmp,12
32971,tcp,17
1845,icmp,13
20850,icmp,13
51322,udp,8
7569,icmp,8
14488,udp,13
1393,icmp,12
17734,udp,7
50294,udp,8
11684,udp,9
46585,icmp,10
2003,udp,10
61769,icmp,13
33817,icmp,9
16112,icmp,12
36848,tcp,15
47587,tcp,5
65054,udp,6
18711,tcp,7
49064,tcp,11
2684,tcp,8
8196,udp,10
57703,icmp,9
18690,tcp,9
63616,tcp,11
52589,icmp,15
16320,udp,11
32277,udp,10
42387,icmp,6
36247,icmp,12
37966,icmp,8
219,tcp,13
63381,icmp,12
61026,tcp,12
35200,tcp,12
31361,udp,12
26353,udp,7
26866,tcp,18
19469,udp,6
37623,tcp,8
15810,udp,6
37126,udp,11
26267,icmp,11
61580,tcp,9
58654,tcp,9
29794,udp,11
39731,udp,10
60479,tcp,10
10084,udp,9
56333,udp,15
38087,tcp,12
43844,icmp,8
9037,udp,14
62425,udp,14
3941,tcp,11
16574,tcp,13
32760,udp,7
37803,icmp,11
47926,icmp,17
6187,udp,8
13619,tcp,6
21320,udp,12
40941,udp,13
27515,udp,12
55395,icmp,10
29507,tcp,5
32984,icmp,10
16686,icmp,15
22567,tcp,17
3800,udp,17
8666,icmp,15
57208,icmp,10
43216,icmp,9
15869,icmp,12
45410,tcp,10
59606,tcp,12
34861,udp,13
61768,tcp,10
3171,tcp,8
7917,udp,10
14354,tcp,9
14568,icmp,15
19676,tcp,11
57386,tcp,12
48897,udp,10
51936,udp,10
12382,icmp,12
2252,tcp,13
55972,icmp,12
3764,tcp,17
56939,udp,10
4458,tcp,9
39572,icmp,15
36776,udp,12
58190,tcp,10
4591,udp,5
17917,icmp,10
63022,udp,10
29401,tcp,16
15144,icmp,10
53089,tcp,11
12165,udp,11
1013,udp,13
33941,icmp,12
31062,tcp,8
63521,tcp,3
11790,icmp,18
19914,icmp,12
19767,udp,16
11274,udp,12
28059,icmp,15
57881,icmp,11
12458,tcp,13
60905,icmp,16
8429,tcp,6
51526,udp,10
3311,tcp,12
39451,icmp,14
63986,udp,8
